"Code","Description","Parent"
"0","Vedlejší rozpočtové náklady",""
"01","Průzkumné, geodetické a projektové práce","0"
"011","průzkumné práce","01"
"0111","geologický průzkum","011"
"01111","inženýrsko-geologický","0111"
"01112","radonový","0111"
"01113","hydrogeologický","0111"
"01114","pedologický","0111"
"0112","botanický a zoologický průzkum","011"
"01121","botanický a zoologický průzkum","0112"
"01122","dendrologický průzkum","0112"
"01129","ostatní ( Natura 2000 aj.)","0112"
"0113","archeologická činnost","011"
"01131","archeologický dohled","0113"
"01132","archeologický průzkum","0113"
"0114","průzkum výskytu škodlivin","011"
"01141","odpad (komunální i průmyslový)","0114"
"01142","munice, výbušniny a jiné nebezpečné látky","0114"
"01143","měrění (monitoring) hlukové hladiny","0114"
"01144","měření (monitoring) znečištění ovzduší","0114"
"01145","měření vibrací","0114"
"01146","měření úrovně osvětlení","0114"
"0115","stavební průzkum","011"
"01151","umělecko-historický","0115"
"01152","stavebně-statický","0115"
"012","geodetické práce","01"
"0121","práce prováděné před výstavbou","012"
"0122","práce prováděné v průběhu výstavby","012"
"0123","práce prováděné po výstavbě","012"
"0124","kartografické práce","012"
"013","projektové práce","01"
"0131","záměry, studie","013"
"01311","architektonické studie, varianty","0131"
"01312","hluková studie","0131"
"01313","rozptylová studie","0131"
"01319","ostatní záměry a studie","0131"
"0132","dokumentace stavby","013"
"01321","pro ohlášení stavby","0132"
"01322","pro stavební povolení","0132"
"01323","pro oznámení stavby (zkrácené řízení)","0132"
"01324","pro provádění stavby","0132"
"01325","skutečného provedení stavby","0132"
"01326","bouracích prací","0132"
"0133","náklady na ocenění stavby","013"
"01331","propočet","0133"
"01332","nabídkový rozpočet","0133"
"01333","prováděcí rozpočet","0133"
"01334","kontrolní rozpočet","0133"
"01335","rozpočet skutečného provedení stavby","0133"
"02","Příprava staveniště","0"
"021","záchranné práce","02"
"0211","zabezpečení přírodních hodnot na místě","021"
"0212","stěhování přírodních hodnot","021"
"0213","zabezpečení archeologických nálezů na místě","021"
"0214","stěhování archeologických nálezů","021"
"0215","exhumace včetně uložení ostatků","021"
"022","přeložení konstrukcí","02"
"023","odstranění materiálů a konstrukcí","02"
"0231","neočekávané vyklizení objektů","023"
"0232","neočekávané demolice objektů","023"
"0233","dekontaminace lokality","023"
"0234","urychleně prováděné práce","023"
"03","Zařízení staveniště","0"
"031","související (přípravné) práce","03"
"0311","projektové práce pro zařízení staveniště","031"
"0312","terénní úpravy pro zařízení staveniště","031"
"032","vybavení staveniště","03"
"0321","náklady na stavební buňky, úprava stávajících objektů","032"
"0322","pronájem ploch staveniště","032"
"0323","zřízení počítačové sítě, WIFI přípojení apod.","032"
"0324","provizorní komunikace","032"
"0325","skládky na staveništi","032"
"0326","ostatní náklady","032"
"0329","náklady na provoz a údržbu vybavení staveniště","032"
"033","připojení na inženýrské sítě","03"
"034","zabezpečení staveniště","03"
"0341","energie pro zařízení staveniště","034"
"0342","oplocení staveniště","034"
"0343","opatření na ochranu sousedních pozemků","034"
"0344","dopravní značení na staveništi i v jeho bezprostředním okolí","034"
"0345","informační tabule stavby","034"
"0346","alarm, strážní služba","034"
"0347","osvětlení staveniště","034"
"039","zrušení zařízení staveniště","03"
"0391","rozebrání, bourání a odvoz zařízení staveniště","039"
"0392","úprava terénu","039"
"04","Inženýrská činnost","0"
"041","dozory","04"
"0411","autorský dozor projektanta","041"
"0412","technický dozor investora","041"
"0413","státní stavební dozor","041"
"0414","koordinátor BOZP na staveništi","041"
"0419","dozor jiné osoby","041"
"042","posudky","04"
"0421","průkaz energetické náročnosti budovy","042"
"0422","energetický štítek obálky budovy","042"
"0423","tepelný audit budovy","042"
"0424","vliv stavby na životní prostředí","042"
"0425","plán BOZP na staveništi","042"
"0426","plán zkoušek","042"
"0429","ostatní","042"
"043","zkoušky a ostatní měření","04"
"0431","zkoušky","043"
"04311","tlakové","0431"
"04312","rentgenové","0431"
"04313","zatěžovací","0431"
"04319","ostatní","0431"
"0432","měření","043"
"044","revize","04"
"045","kompletační činnost a koordinační činnost","04"
"0451","náklady na soutěž","045"
"0452","kompletační činnost","045"
"0453","koordinační činnost","045"
"049","ostatní inženýrská činnost","04"
"0491","náklady vzniklé v souvislosti s realizací stavby","049"
"0492","náklady stanovené zvláštními předpisy","049"
"05","Finanční náklady","0"
"051","pojistné","05"
"0511","pojištění proti vlivu vyšší moci","051"
"0512","pojištění proti chybám v projektové dokumentaci","051"
"0513","pojištění proti zpoždění","051"
"052","finanční rezerva","05"
"0521","rezerva investora","052"
"0522","rezerva dodavatele","052"
"053","poplatky","05"
"0531","místní poplatky","053"
"0532","úhrady za užití průmyslových práv","053"
"054","záruka, reklamace","05"
"055","záloha","05"
"056","bankovní záruka","05"
"057","kauce, zádržné","05"
"058","pokuty","05"
"0581","smluvní pokuty","058"
"0582","ostatní pokuty","058"
"059","ostatní finance","05"
"06","Územní vlivy","0"
"061","vliv klimatických podmínek","06"
"062","ztížené dopravní podmínky","06"
"0621","překládání nákladu na jiný rozchod kolejí","062"
"0622","odlehčení vagonů nebo aut","062"
"0623","použití nezvyklých dopravních prostředků","062"
"063","práce na těžce přístupných místech","06"
"0631","práce v podzemí","063"
"0632","potápěčské práce","063"
"06321","prováděné pod hladinou","0632"
"06322","prováděné nad hladinou","0632"
"0633","práce ve výškách, hloubkách","063"
"0634","práce bez pevné pracovní podlahy","063"
"0635","práce ve stísněném prostoru","063"
"064","práce ve zdraví škodlivém prostředí","06"
"0641","práce ve škodlivém prostředí","064"
"0642","práce se škodlivými materiály","064"
"065","mimostaveništní doprava materiálů a výrobků","06"
"07","Provozní vlivy","0"
"071","provoz investora, případně třetích osob","07"
"0711","provoz investora","071"
"0712","provoz dalšího subjektu","071"
"072","silniční provoz","07"
"073","ztížený pohyb vozidel v centrech měst","07"
"074","železniční provoz, městský kolejový provoz","07"
"075","ochranná pásma","07"
"0751","elektrického vedení","075"
"0752","vodárenská","075"
"0753","přírodních hodnot","075"
"0754","protipožární","075"
"0755","památková","075"
"0756","jiná","075"
"079","ostatní","07"
"08","Další náklady na pracovníky","0"
"081","doprava zaměstnanců na staveniště","08"
"0811","denní doprava pracovníků na pracoviště","081"
"0812","návštěva domova","081"
"082","stravné, nocležné","08"
"0821","stravné","082"
"0822","nocležné","082"
"083","pracovní pohotovost","08"
"09","Ostatní náklady","0"
"091","související s objektem","09"
"0911","stroje a zařízení nevyžadující montáž","091"
"0912","zabezpečovací práce související se zastavením stavby","091"
"0913","umělecká díla nepřenosná","091"
"0914","práce na památkovém objektu","091"
"0915","náklady související s publikační činností","091"
"0916","předzásobení náhradními prvky","091"
"0917","náklady na údržbu stavby","091"
"092","související s provozem","09"
"0921","náklady na zkušební provoz","092"
"093","havárie, živelné pohromy","09"
"0931","odstraňování následků havárií, živelných pohrom","093"
"1","Zemní práce",""
"11","přípravné a přidružené práce","1"
"111","odstranění travin a křovin","11"
"1111","odstranění travin","111"
"11111","ručně","1111"
"11115","strojně","1111"
"1112","odstranění křovin","111"
"11121","ručně","1112"
"11125","strojně","1112"
"1113","sejmutí drnu","111"
"11131","ručně","1113"
"11135","strojně","1113"
"112","kácení stromů a odstranění pařezů","11"
"1121","kácení stromů","112"
"11211","ručně","1121"
"11215","strojně","1121"
"1122","odstranění pařezů","112"
"11221","ručně","1122"
"11225","strojně","1122"
"1123","přemístění","112"
"11231","ručně","1123"
"11235","strojně","1123"
"113","odstranění vozovek a jiných zpevněných ploch a podkladů","11"
"1131","odstranění krytů vozovek a zpevněných ploch","113"
"11311","ručně","1131"
"11315","strojně","1131"
"1132","odstranění obrubníků, obrub, krajníků, zábradlí","113"
"11321","ručně","1132"
"11325","strojně","1132"
"1133","odstranění podkladů","113"
"11331","ručně","1133"
"11335","strojně","1133"
"114","odstranění konstrukcí vodních koryt","11"
"1141","odstranění dlažeb","114"
"11411","ručně","1141"
"11415","strojně","1141"
"1142","odstranění jiných konstrukcí (záhozy, rovnaniny, příčné prahy aj.)","114"
"11421","ručně","1142"
"11425","strojně","1142"
"115","čerpání vody ","11"
"1151","čerpadly","115"
"11511","ručně","1151"
"11515","strojně","1151"
"1152","jehlofiltry","115"
"11521","ručně","1152"
"11525","strojně","1152"
"116","úprava a příprava zemin","11"
"1161","třídění","116"
"11611","ručně","1161"
"11615","strojně","1161"
"1169","ostatní","116"
"11691","ručně","1169"
"11695","strojně","1169"
"117","odstranění sněhu a ledu","11"
"1171","bez členění","117"
"11711","ručně","1171"
"11715","strojně","1171"
"119","ostatní","11"
"12","odkopávky a prokopávky","1"
"121","sejmutí ornice a lesní půdy","12"
"1211","tř. horniny 1-2","121"
"12111","ručně","1211"
"12115","strojně","1211"
"1212","tř. horniny 3","121"
"12121","ručně","1212"
"12125","strojně","1212"
"1213","tř. horniny 4","121"
"12131","ručně","1213"
"12135","strojně","1213"
"1214","tř. horniny 5","121"
"12141","ručně","1214"
"12145","strojně","1214"
"1215","tř. horniny 6","121"
"12151","ručně","1215"
"12155","strojně","1215"
"1216","tř. horniny 7","121"
"12161","ručně","1216"
"12165","strojně","1216"
"1217","tř. horniny 1-4","121"
"12171","ručně","1217"
"12175","strojně","1217"
"1218","tř. horniny 5-7","121"
"12181","ručně","1218"
"12185","strojně","1218"
"1219","ostatní","121"
"12191","ručně","1219"
"12195","strojně","1219"
"122","odkopávky, prokopávky (zahrnuje i výkopky v zemnících)","12"
"1221","tř. horniny 1-2","122"
"12211","ručně","1221"
"12215","strojně","1221"
"1222","tř. horniny 3","122"
"12221","ručně","1222"
"12225","strojně","1222"
"1223","tř. horniny 4","122"
"12231","ručně","1223"
"12235","strojně","1223"
"1224","tř. horniny 5","122"
"12241","ručně","1224"
"12245","strojně","1224"
"1225","tř. horniny 6","122"
"12251","ručně","1225"
"12255","strojně","1225"
"1226","tř. horniny 7","122"
"12261","ručně","1226"
"12265","strojně","1226"
"1227","tř. horniny 1-4","122"
"12271","ručně","1227"
"12275","strojně","1227"
"1228","tř. horniny 5-7","122"
"12281","ručně","1228"
"12285","strojně","1228"
"1229","ostatní","122"
"12291","ručně","1229"
"12295","strojně","1229"
"123","vykopávky zářezů pro podzemní vedení","12"
"1231","tř. horniny 1-2","123"
"12311","ručně","1231"
"12315","strojně","1231"
"1232","tř. horniny 3","123"
"12321","ručně","1232"
"12325","strojně","1232"
"1233","tř. horniny 4","123"
"12331","ručně","1233"
"12335","strojně","1233"
"1234","tř. horniny 5","123"
"12341","ručně","1234"
"12345","strojně","1234"
"1235","tř. horniny 6","123"
"12351","ručně","1235"
"12355","strojně","1235"
"1236","tř. horniny 7","123"
"12361","ručně","1236"
"12365","strojně","1236"
"1237","tř. horniny 1-4","123"
"12371","ručně","1237"
"12375","strojně","1237"
"1238","tř. horniny 5-7","123"
"12381","ručně","1238"
"12385","strojně","1238"
"1239","ostatní","123"
"12391","ručně","1239"
"12395","strojně","1239"
"124","vykopávky koryt","12"
"1241","tř. horniny 1-2","124"
"12411","ručně","1241"
"12415","strojně","1241"
"1242","tř. horniny 3","124"
"12421","ručně","1242"
"12425","strojně","1242"
"1243","tř. horniny 4","124"
"12431","ručně","1243"
"12435","strojně","1243"
"1244","tř. horniny 5","124"
"12441","ručně","1244"
"12445","strojně","1244"
"1245","tř. horniny 6","124"
"12451","ručně","1245"
"12455","strojně","1245"
"1246","tř. horniny 7","124"
"12461","ručně","1246"
"12465","strojně","1246"
"1247","tř. horniny 1-4","124"
"12471","ručně","1247"
"12475","strojně","1247"
"1248","tř. horniny 5-7","124"
"12481","ručně","1248"
"12485","strojně","1248"
"1249","ostatní","124"
"12491","ručně","1249"
"12495","strojně","1249"
"125","vykopávky melioračních kanálů","12"
"1251","tř. horniny 1-2","125"
"12511","ručně","1251"
"12515","strojně","1251"
"1252","tř. horniny 3","125"
"12521","ručně","1252"
"12525","strojně","1252"
"1253","tř. horniny 4","125"
"12531","ručně","1253"
"12535","strojně","1253"
"1254","tř. horniny 5","125"
"12541","ručně","1254"
"12545","strojně","1254"
"1255","tř. horniny 6","125"
"12551","ručně","1255"
"12555","strojně","1255"
"1256","tř. horniny 7","125"
"12561","ručně","1256"
"12565","strojně","1256"
"1257","tř. horniny 1-4","125"
"12571","ručně","1257"
"12575","strojně","1257"
"1258","tř. horniny 5-7","125"
"12581","ručně","1258"
"12585","strojně","1258"
"1259","ostatní","125"
"12591","ručně","1259"
"12595","strojně","1259"
"126","zřízení stupňů v podloží","12"
"1261","tř. horniny 1-2","126"
"12611","ručně","1261"
"12615","strojně","1261"
"1262","tř. horniny 3","126"
"12621","ručně","1262"
"12625","strojně","1262"
"1263","tř. horniny 4","126"
"12631","ručně","1263"
"12635","strojně","1263"
"1264","tř. horniny 5","126"
"12641","ručně","1264"
"12645","strojně","1264"
"1265","tř. horniny 6","126"
"12651","ručně","1265"
"12655","strojně","1265"
"1266","tř. horniny 7","126"
"12661","ručně","1266"
"12665","strojně","1266"
"1267","tř. horniny 1-4","126"
"12671","ručně","1267"
"12675","strojně","1267"
"1268","tř. horniny 5-7","126"
"12681","ručně","1268"
"12685","strojně","1268"
"1269","ostatní","126"
"12691","ručně","1269"
"12695","strojně","1269"
"127","vykopávky pod vodou","12"
"1271","tř. horniny 1-2","127"
"12711","ručně","1271"
"12715","strojně","1271"
"1272","tř. horniny 3","127"
"12721","ručně","1272"
"12725","strojně","1272"
"1273","tř. horniny 4","127"
"12731","ručně","1273"
"12735","strojně","1273"
"1274","tř. horniny 5","127"
"12741","ručně","1274"
"12745","strojně","1274"
"1275","tř. horniny 6","127"
"12751","ručně","1275"
"12755","strojně","1275"
"1276","tř. horniny 7","127"
"12761","ručně","1276"
"12765","strojně","1276"
"1277","tř. horniny 1-4","127"
"12771","ručně","1277"
"12775","strojně","1277"
"1278","tř. horniny 5-7","127"
"12781","ručně","1278"
"12785","strojně","1278"
"1279","ostatní","127"
"12791","ručně","1279"
"12795","strojně","1279"
"128","dolamování odkopávek","12"
"1281","tř. horniny 1-2","128"
"12811","ručně","1281"
"12815","strojně","1281"
"1282","tř. horniny 3","128"
"12821","ručně","1282"
"12825","strojně","1282"
"1283","tř. horniny 4","128"
"12831","ručně","1283"
"12835","strojně","1283"
"1284","tř. horniny 5","128"
"12841","ručně","1284"
"12845","strojně","1284"
"1285","tř. horniny 6","128"
"12851","ručně","1285"
"12855","strojně","1285"
"1286","tř. horniny 7","128"
"12861","ručně","1286"
"12865","strojně","1286"
"1287","tř. horniny 1-4","128"
"12871","ručně","1287"
"12875","strojně","1287"
"1288","tř. horniny 5-7","128"
"12881","ručně","1288"
"12885","strojně","1288"
"1289","ostatní","128"
"12891","ručně","1289"
"12895","strojně","1289"
"129","ostatní","12"
"1291","tř. horniny 1-2","129"
"12911","ručně","1291"
"12915","strojně","1291"
"1292","tř. horniny 3","129"
"12921","ručně","1292"
"12925","strojně","1292"
"1293","tř. horniny 4","129"
"12931","ručně","1293"
"12935","strojně","1293"
"1294","tř. horniny 5","129"
"12941","ručně","1294"
"12945","strojně","1294"
"1295","tř. horniny 6","129"
"12951","ručně","1295"
"12955","strojně","1295"
"1296","tř. horniny 7","129"
"12961","ručně","1296"
"12965","strojně","1296"
"1297","tř. horniny 1-4","129"
"12971","ručně","1297"
"12975","strojně","1297"
"1298","tř. horniny 5-7","129"
"12981","ručně","1298"
"12985","strojně","1298"
"1299","ostatní","129"
"12991","ručně","1299"
"12995","strojně","1299"
"13","hloubené vykopávky","1"
"131","hloubení jam","13"
"1311","tř. horniny 1-2","131"
"13111","ručně","1311"
"13115","strojně","1311"
"1312","tř. horniny 3","131"
"13121","ručně","1312"
"13125","strojně","1312"
"1313","tř. horniny 4","131"
"13131","ručně","1313"
"13135","strojně","1313"
"1314","tř. horniny 5","131"
"13141","ručně","1314"
"13145","strojně","1314"
"1315","tř. horniny 6","131"
"13151","ručně","1315"
"13155","strojně","1315"
"1316","tř. horniny 7","131"
"13161","ručně","1316"
"13165","strojně","1316"
"1317","tř. horniny 1-4","131"
"13171","ručně","1317"
"13175","strojně","1317"
"1318","tř. horniny 5-7","131"
"13181","ručně","1318"
"13185","strojně","1318"
"132","hloubení rýh","13"
"1321","tř. horniny 1-2","132"
"13211","ručně","1321"
"13215","strojně","1321"
"1322","tř. horniny 3","132"
"13221","ručně","1322"
"13225","strojně","1322"
"1323","tř. horniny 4","132"
"13231","ručně","1323"
"13235","strojně","1323"
"1324","tř. horniny 5","132"
"13241","ručně","1324"
"13245","strojně","1324"
"1325","tř. horniny 6","132"
"13251","ručně","1325"
"13255","strojně","1325"
"1326","tř. horniny 7","132"
"13261","ručně","1326"
"13265","strojně","1326"
"1327","tř. horniny 1-4","132"
"13271","ručně","1327"
"13275","strojně","1327"
"1328","tř. horniny 5-7","132"
"13281","ručně","1328"
"13285","strojně","1328"
"133","hloubení šachet","13"
"1331","tř. horniny 1-2","133"
"13311","ručně","1331"
"13315","strojně","1331"
"1332","tř. horniny 3","133"
"13321","ručně","1332"
"13325","strojně","1332"
"1333","tř. horniny 4","133"
"13331","ručně","1333"
"13335","strojně","1333"
"1334","tř. horniny 5","133"
"13341","ručně","1334"
"13345","strojně","1334"
"1335","tř. horniny 6","133"
"13351","ručně","1335"
"13355","strojně","1335"
"1336","tř. horniny 7","133"
"13361","ručně","1336"
"13365","strojně","1336"
"1337","tř. horniny 1-4","133"
"13371","ručně","1337"
"13375","strojně","1337"
"1338","tř. horniny 5-7","133"
"13381","ručně","1338"
"13385","strojně","1338"
"134","hloubení studní","13"
"1341","tř. horniny 1-2","134"
"13411","ručně","1341"
"13415","strojně","1341"
"1342","tř. horniny 3","134"
"13421","ručně","1342"
"13425","strojně","1342"
"1343","tř. horniny 4","134"
"13431","ručně","1343"
"13435","strojně","1343"
"1344","tř. horniny 5","134"
"13441","ručně","1344"
"13445","strojně","1344"
"1345","tř. horniny 6","134"
"13451","ručně","1345"
"13455","strojně","1345"
"1346","tř. horniny 7","134"
"13461","ručně","1346"
"13465","strojně","1346"
"1347","tř. horniny 1-4","134"
"13471","ručně","1347"
"13475","strojně","1347"
"1348","tř. horniny 5-7","134"
"13481","ručně","1348"
"13485","strojně","1348"
"136","hloubení v kesonech","13"
"1361","tř. horniny 1-2","136"
"13611","ručně","1361"
"13615","strojně","1361"
"1362","tř. horniny 3","136"
"13621","ručně","1362"
"13625","strojně","1362"
"1363","tř. horniny 4","136"
"13631","ručně","1363"
"13635","strojně","1363"
"1364","tř. horniny 5","136"
"13641","ručně","1364"
"13645","strojně","1364"
"1365","tř. horniny 6","136"
"13651","ručně","1365"
"13655","strojně","1365"
"1366","tř. horniny 7","136"
"13661","ručně","1366"
"13665","strojně","1366"
"1367","tř. horniny 1-4","136"
"13671","ručně","1367"
"13675","strojně","1367"
"1368","tř. horniny 5-7","136"
"13681","ručně","1368"
"13685","strojně","1368"
"137","hloubení šachtových pilířů a pilot","13"
"1371","tř. horniny 1-2","137"
"13711","ručně","1371"
"13715","strojně","1371"
"1372","tř. horniny 3","137"
"13721","ručně","1372"
"13725","strojně","1372"
"1373","tř. horniny 4","137"
"13731","ručně","1373"
"13735","strojně","1373"
"1374","tř. horniny 5","137"
"13741","ručně","1374"
"13745","strojně","1374"
"1375","tř. horniny 6","137"
"13751","ručně","1375"
"13755","strojně","1375"
"1376","tř. horniny 7","137"
"13761","ručně","1376"
"13765","strojně","1376"
"1377","tř. horniny 1-4","137"
"13771","ručně","1377"
"13775","strojně","1377"
"1378","tř. horniny 5-7","137"
"13781","ručně","1378"
"13785","strojně","1378"
"138","dolamování hloubených vykopávek","13"
"1381","tř. horniny 1-2","138"
"13811","ručně","1381"
"13815","strojně","1381"
"1382","tř. horniny 3","138"
"13821","ručně","1382"
"13825","strojně","1382"
"1383","tř. horniny 4","138"
"13831","ručně","1383"
"13835","strojně","1383"
"1384","tř. horniny 5","138"
"13841","ručně","1384"
"13845","strojně","1384"
"1385","tř. horniny 6","138"
"13851","ručně","1385"
"13855","strojně","1385"
"1386","tř. horniny 7","138"
"13861","ručně","1386"
"13865","strojně","1386"
"1387","tř. horniny 1-4","138"
"13871","ručně","1387"
"13875","strojně","1387"
"1388","tř. horniny 5-7","138"
"13881","ručně","1388"
"13885","strojně","1388"
"139","ostatní","13"
"1391","tř. horniny 1-2","139"
"13911","ručně","1391"
"13915","strojně","1391"
"1392","tř. horniny 3","139"
"13921","ručně","1392"
"13925","strojně","1392"
"1393","tř. horniny 4","139"
"13931","ručně","1393"
"13935","strojně","1393"
"1394","tř. horniny 5","139"
"13941","ručně","1394"
"13945","strojně","1394"
"1395","tř. horniny 6","139"
"13951","ručně","1395"
"13955","strojně","1395"
"1396","tř. horniny 7","139"
"13961","ručně","1396"
"13965","strojně","1396"
"1397","tř. horniny 1-4","139"
"13971","ručně","1397"
"13975","strojně","1397"
"1398","tř. horniny 5-7","139"
"13981","ručně","1398"
"13985","strojně","1398"
"14","ražení a protlačování","1"
"141","protlačování","14"
"1411","tř. horniny 1-2","141"
"14111","ručně","1411"
"14112","strojně","1411"
"1412","tř. horniny 3","141"
"14121","ručně","1412"
"14122","strojně","1412"
"1413","tř. horniny 4","141"
"14131","ručně","1413"
"14132","strojně","1413"
"1414","tř. horniny 5","141"
"14141","ručně","1414"
"14142","strojně","1414"
"1415","tř. horniny 6","141"
"14151","ručně","1415"
"14152","strojně","1415"
"1416","tř. horniny 7","141"
"14161","ručně","1416"
"14162","strojně","1416"
"1417","tř. horniny 1-4","141"
"14171","ručně","1417"
"14172","strojně","1417"
"1418","tř. horniny 5-7","141"
"14181","ručně","1418"
"14182","strojně","1418"
"1419","ostatní","141"
"14191","ručně","1419"
"14192","strojně","1419"
"142","ražení štol","14"
"1421","I. st. ražnosti","142"
"14216","v hornině suché","1421"
"14217","v hornině mokré","1421"
"14218","v hornině silně zavodněné","1421"
"1422","II. st. ražnosti","142"
"14226","v hornině suché","1422"
"14227","v hornině mokré","1422"
"14228","v hornině silně zavodněné","1422"
"1423","III. st. ražnosti","142"
"14236","v hornině suché","1423"
"14237","v hornině mokré","1423"
"14238","v hornině silně zavodněné","1423"
"1424","litá skála","142"
"14246","v hornině suché","1424"
"14247","v hornině mokré","1424"
"14248","v hornině silně zavodněné","1424"
"143","štítování štol","14"
"1431","I. st. ražnosti","143"
"14316","v hornině suché","1431"
"14317","v hornině mokré","1431"
"14318","v hornině silně zavodněné","1431"
"1432","II. st. ražnosti","143"
"14326","v hornině suché","1432"
"14327","v hornině mokré","1432"
"14328","v hornině silně zavodněné","1432"
"1433","III. st. ražnosti","143"
"14336","v hornině suché","1433"
"14337","v hornině mokré","1433"
"14338","v hornině silně zavodněné","1433"
"1434","litá skála","143"
"14346","v hornině suché","1434"
"14347","v hornině mokré","1434"
"14348","v hornině silně zavodněné","1434"
"144","ražení šachet","14"
"1441","I. st. ražnosti","144"
"14416","v hornině suché","1441"
"14417","v hornině mokré","1441"
"14418","v hornině silně zavodněné","1441"
"1442","II. st. ražnosti","144"
"14426","v hornině suché","1442"
"14427","v hornině mokré","1442"
"14428","v hornině silně zavodněné","1442"
"1443","III. st. ražnosti","144"
"14436","v hornině suché","1443"
"14437","v hornině mokré","1443"
"14438","v hornině silně zavodněné","1443"
"1444","litá skála","144"
"14446","v hornině suché","1444"
"14447","v hornině mokré","1444"
"14448","v hornině silně zavodněné","1444"
"145","ražení tunelů","14"
"1451","I. st. ražnosti","145"
"14516","v hornině suché","1451"
"14517","v hornině mokré","1451"
"14518","v hornině silně zavodněné","1451"
"1452","II. st. ražnosti","145"
"14526","v hornině suché","1452"
"14527","v hornině mokré","1452"
"14528","v hornině silně zavodněné","1452"
"1453","III. st. ražnosti","145"
"14536","v hornině suché","1453"
"14537","v hornině mokré","1453"
"14538","v hornině silně zavodněné","1453"
"1454","litá skála","145"
"14546","v hornině suché","1454"
"14547","v hornině mokré","1454"
"14548","v hornině silně zavodněné","1454"
"146","štít. tunelů","14"
"1461","I. st. ražnosti","146"
"14616","v hornině suché","1461"
"14617","v hornině mokré","1461"
"14618","v hornině silně zavodněné","1461"
"1462","II. st. ražnosti","146"
"14626","v hornině suché","1462"
"14627","v hornině mokré","1462"
"14628","v hornině silně zavodněné","1462"
"1463","III. st. ražnosti","146"
"14636","v hornině suché","1463"
"14637","v hornině mokré","1463"
"14638","v hornině silně zavodněné","1463"
"1464","litá skála","146"
"14646","v hornině suché","1464"
"14647","v hornině mokré","1464"
"14648","v hornině silně zavodněné","1464"
"147","ražení tunelů členěným výlom.","14"
"1471","I. st. ražnosti","147"
"14716","v hornině suché","1471"
"14717","v hornině mokré","1471"
"14718","v hornině silně zavodněné","1471"
"1472","II. st. ražnosti","147"
"14726","v hornině suché","1472"
"14727","v hornině mokré","1472"
"14728","v hornině silně zavodněné","1472"
"1473","III. st. ražnosti","147"
"14736","v hornině suché","1473"
"14737","v hornině mokré","1473"
"14738","v hornině silně zavodněné","1473"
"1474","litá skála","147"
"14746","v hornině suché","1474"
"14747","v hornině mokré","1474"
"14748","v hornině silně zavodněné","1474"
"149","ostatní","14"
"1491","I. st. ražnosti","149"
"14916","v hornině suché","1491"
"14917","v hornině mokré","1491"
"14918","v hornině silně zavodněné","1491"
"1492","II. st. ražnosti","149"
"14926","v hornině suché","1492"
"14927","v hornině mokré","1492"
"14928","v hornině silně zavodněné","1492"
"1493","III. st. ražnosti","149"
"14936","v hornině suché","1493"
"14937","v hornině mokré","1493"
"14938","v hornině silně zavodněné","1493"
"1494","litá skála","149"
"14946","v hornině suché","1494"
"14947","v hornině mokré","1494"
"14948","v hornině silně zavodněné","1494"
"15","zajištění výkopu, násypu a svahu","1"
"151","roubení vykopávek","15"
"1511","pažení příložné","151"
"15112","ze dřeva","1511"
"15113","z oceli","1511"
"15114","z prefabrikátů","1511"
"1512","pažení zátažné","151"
"15122","ze dřeva","1512"
"15123","z oceli","1512"
"15124","z prefabrikátů","1512"
"1513","pažení hnané","151"
"15132","ze dřeva","1513"
"15133","z oceli","1513"
"15134","z prefabrikátů","1513"
"1514","přepažování přilož. paž.","151"
"15142","ze dřeva","1514"
"15143","z oceli","1514"
"15144","z prefabrikátů","1514"
"1515","přepažování zátaž. pažení","151"
"15152","ze dřeva","1515"
"15153","z oceli","1515"
"15154","z prefabrikátů","1515"
"1516","přepažování hnaného pažení","151"
"15162","ze dřeva","1516"
"15163","z oceli","1516"
"15164","z prefabrikátů","1516"
"1517","pažení záporové","151"
"15171","zápory","1517"
"15172","pažení","1517"
"1518","pažící boxy","151"
"15181","těžké","1518"
"15182","střední","1518"
"15183","lehké","1518"
"15184","velmi lehké","1518"
"1519","ostatní","151"
"15192","ze dřeva","1519"
"15193","z oceli","1519"
"15194","z prefabrikátů","1519"
"152","roubení tunelářské","15"
"1521","pažení v I. st. ražnosti","152"
"15216","v hornině suché","1521"
"15217","v hornině mokré","1521"
"15218","v hornině zavodněné","1521"
"1522","pažení v II. st. ražnosti","152"
"15226","v hornině suché","1522"
"15227","v hornině mokré","1522"
"15228","v hornině zavodněné","1522"
"1523","pažení v III. st. ražnosti","152"
"15236","v hornině suché","1523"
"15237","v hornině mokré","1523"
"15238","v hornině zavodněné","1523"
"1524","přepaž. v I. st. ražnosti","152"
